s.no,address,cityname,state,country,price(in rupees)
1,,Washington,DC,USA,65665
2,814 Schutte Rd,Evansville,IN,USA,35326
3,,Arlington,VA,USA,115537
4,1717 12th Avenue,Seattle,WA,USA,76886
5,,Arlington,VA,USA,73146
6,2432 Penmar Avenue,Venice,CA,USA,149616
7,,Washington,DC,USA,69821
8,333 Hyde St,San Francisco,CA,USA,124264
9,,Washington,DC,USA,73977
10,15th St SE Independence Avenue SE Washington DC,Washington,DC,USA,82289
11,,Washington,DC,USA,69821
12,2326 N 6th Ave,Tucson,AZ,USA,149200
13,,Washington,DC,USA,90601
14,57 Taylor St,San Francisco,CA,USA,140888
15,,Spring,TX,USA,83120
16,545 Georgia St 717-723 Sutter St,Vallejo,CA,USA,78964
17,,Charlotte,NC,USA,49872
18,,,,USA,43638
19,,Riverview,FL,USA,62340
20,,Lafayette,AL,USA,166240
21,,San Francisco,CA,USA,116368
22,,Glen Burnie,MD,USA,91016
23,,Aurora,CO,USA,60262
24,,Manassas,VA,USA,54028
25,,Decatur,GA,USA,54028
26,,Tampa,FL,USA,53612
27,,Albuquerque,NM,USA,49456
28,,,,USA,62340
29,6921 Roosevelt Way NE,Seattle,WA,USA,99328
30,714 N 95th St,Seattle,WA,USA,95588
31,420 W Fullerton Parkway,Chicago,IL,USA,78299
32,2037 Yale Avenue E,Seattle,WA,USA,103900
33,,Gastonia,NC,USA,66496
34,,Wimauma,FL,USA,56937
35,23 S Pauline Place,Memphis,TN,USA,43638
36,1008 North 109th St,Seattle,WA,USA,91016
37,925 Geary St,San Francisco,CA,USA,140888
38,13th St NW Monroe St NW Washington DC,Washington,DC,USA,82289
39,202 E Holly St,Bellingham,WA,USA,64418
40,838 NE 66th St,Seattle,WA,USA,107973
41,3321 Eureka St,Anchorage,AK,USA,58600
42,,Pacifica,CA,USA,149616
43,22nd Ave,San Francisco,CA,USA,124680
44,,Studio City,CA,USA,110550
45,,Moorpark,CA,USA,108887
46,,Sacramento,CA,USA,107640
47,,Seattle,WA,USA,103900
48,,North Hollywood,CA,USA,103900
49,,Denver,CO,USA,99744
50,,Aurora,CO,USA,99744
51,,Brentwood,CA,USA,97666
52,2nd St,San Rafael,CA,USA,96004
53,,Oakland,CA,USA,94341
54,17th St,San Pablo,CA,USA,92679
55,1409 W Diversey Parkway,Chicago,IL,USA,91016
56,,Alexandria,VA,USA,90601
57,,Chicago,IL,USA,89354
58,,Denver,CO,USA,87276
59,,Burke,VA,USA,86860
60,100th Avenue NE,Bellevue,WA,USA,85198
61,8th Ave North,,,USA,85198
62,,Wilton,CA,USA,83536
63,,Woodland Hills,CA,USA,83120
64,,Miami,FL,USA,83120
65,,Hyattsville,MD,USA,83120
66,,Westminster,CO,USA,83120
67,,Aurora,CO,USA,83120
68,,Arvada,CO,USA,83120
69,,Seal Beach,CA,USA,83120
70,,Medford Lakes,NJ,USA,80211
71,,Glen Burnie,MD,USA,79380
72,,Littleton,CO,USA,78964
73,,Aurora,CO,USA,78964
74,,Concord,CA,USA,77302
75,,Lafayette,CO,USA,76886
76,1st Avenue,Chula Vista,CA,USA,76886
77,,Highlands Ranch,CO,USA,76055
78,,Boulder,CO,USA,74808
79,,Aurora,CO,USA,74808
80,,Anaheim,CA,USA,74808
81,,Commerce City,CO,USA,74392
82,,Arvada,CO,USA,74392
