s.no,bedrooms,bathrooms,area(sq.ft),pets_allowed
1,0,,101,None
2,1,,106,None
3,0,1,107,None
4,0,1,116,None
5,0,,125,None
6,0,,132,None
7,0,,136,None
8,0,1,138,None
9,0,,141,None
10,0,,146,None
11,0,,150,None
12,1,,156,"Cats,Dogs"
13,0,,178,None
14,0,1,190,None
15,1,1,200,None
16,1,1,200,None
17,1,1,200,None
18,1,1,200,None
19,1,1,215,None
20,1,1,219,None
21,1,1,219,None
22,1,1,219,None
23,1,1,219,None
24,1,1,219,None
25,1,1,219,None
26,1,1,219,None
27,1,1,219,None
28,1,1,220,None
29,0,1,223,"Cats,Dogs"
30,0,1,225,None
31,1,1,225,Cats
32,0,1,228,"Cats,Dogs"
33,1,1,230,None
34,1,1,230,None
35,1,1,230,"Cats,Dogs"
36,0,1,231,Cats
37,0,1,232,"Cats,Dogs"
38,0,,239,None
39,1,1,240,Cats
40,0,1,243,"Cats,Dogs"
41,1,1,245,"Cats,Dogs"
42,1,1,250,None
43,1,1,250,None
44,1,1,250,None
45,1,1,250,None
46,1,1,250,None
47,1,1,250,None
48,1,1,250,None
49,1,1,250,None
50,1,1,250,None
51,1,1,250,None
52,1,1,250,None
53,1,1,250,None
54,1,1,250,None
55,0,1,250,None
56,1,1,250,None
57,1,1,250,None
58,1,1,250,None
59,1,1,250,None
60,1,1,250,None
61,1,1,250,None
62,1,1,250,None
63,1,1,250,None
64,1,1,250,None
65,1,1,250,None
66,1,1,250,None
67,1,1,250,None
68,1,1,250,None
69,1,1,250,None
70,1,1,250,None
71,1,1,250,None
72,1,1,250,None
73,1,1,250,None
74,1,1,250,None
75,1,1,250,None
76,1,1,250,None
77,1,1,250,None
78,1,1,250,None
79,1,1,250,None
80,1,1,250,None
81,1,1,250,None
82,1,1,250,None
83,1,1,250,None
84,1,1,250,None
85,1,1,250,None
86,1,1,250,None
87,1,1,250,None
88,1,1,250,None
89,1,1,250,None
90,1,1,250,None
91,1,1,250,None
92,1,1,250,None
93,1,1,250,None
94,1,1,250,None
95,1,1,250,None
96,1,1,250,None
97,1,1,250,None
98,1,1,250,None
99,1,1,250,None
100,1,1,250,None
101,1,1,250,None
102,1,1,250,None
103,1,1,250,None
104,1,1,250,None
105,1,1,250,None
106,1,1,250,None
107,1,1,250,None
108,1,1,250,None
109,1,1,250,None
110,1,1,250,None
111,1,1,250,None
112,1,1,250,None
113,1,1,250,None
114,1,1,250,None
115,1,1,250,None
116,1,1,250,None
117,1,1,250,None
118,1,1,250,None
119,1,1,250,None
120,1,1,250,None
121,1,1,250,None
122,1,1,250,None
123,1,1,250,None
124,1,1,250,None
125,1,1,250,None
126,1,1,250,None
127,1,1,250,None
128,1,1,250,None
129,1,1,250,None
130,1,1,250,None
131,1,1,250,None
132,0,1,253,"Cats,Dogs"
133,0,1,255,"Cats,Dogs"
134,0,1,258,"Cats,Dogs"
135,1,1,265,Cats
136,1,1,272,None
137,0,1,275,Cats
138,1,1,275,None
139,1,1,275,
140,1,1,285,"Cats,Dogs"
141,0,1,286,"Cats,Dogs"
142,0,1,288,"Cats,Dogs"
143,0,1,290,"Cats,Dogs"
144,0,1,296,None
145,0,1,300,"Cats,Dogs"
146,1,1,300,
147,1,1,300,
148,0,1,300,None
149,1,1,300,"Cats,Dogs"
150,0,1,300,
151,1,1,300,"Cats,Dogs"
152,0,1,300,"Cats,Dogs"
153,1,1,300,None
154,1,1,300,None
155,1,1,300,Cats
156,1,1,300,"Cats,Dogs"
157,0,1,300,None
158,1,1,300,None
159,1,1,300,None
160,1,1,300,None
161,1,1,300,"Cats,Dogs"
162,1,1,300,None
163,0,1,308,None
164,0,1,309,"Cats,Dogs"
165,0,1,313,"Cats,Dogs"
166,0,1,315,"Cats,Dogs"
167,2,1,315,Cats
168,0,1,315,"Cats,Dogs"
169,1,1,317,"Cats,Dogs"
170,0,1,318,None
171,1,1,320,Cats
172,1,1,321,None
173,1,1,322,"Cats,Dogs"
174,2,1,324,None
175,2,1,325,Cats
176,1,1,325,Dogs
177,2,1,325,"Cats,Dogs"
178,0,1,325,Cats
179,2,1,325,"Cats,Dogs"
180,2,1,325,"Cats,Dogs"
181,2,1,325,Cats
182,0,1,330,None
183,2,1,332,"Cats,Dogs"
184,1,1,332,"Cats,Dogs"
185,2,1,333,Cats
186,2,1,334,None
187,1,1,335,"Cats,Dogs"
188,0,1,336,"Cats,Dogs"
189,2,1,336,Cats
190,1,1,336,"Cats,Dogs"
191,2,1,337,None
192,0,1,338,"Cats,Dogs"
193,1,1,340,None
194,2,1,340,None
195,0,1,342,None
196,2,1,342,"Cats,Dogs"
197,1,1,346,"Cats,Dogs"
198,1,1,347,"Cats,Dogs"
199,0,1,350,None
200,2,1,350,"Cats,Dogs"
201,0,1,350,"Cats,Dogs"
202,0,1,350,"Cats,Dogs"
203,0,1,350,"Cats,Dogs"
204,1,1,350,"Cats,Dogs"
205,0,1,350,None
206,0,1,350,"Cats,Dogs"
207,1,,350,"Cats,Dogs"
208,1,1,350,None
209,0,1,350,"Cats,Dogs"
210,0,1,350,"Cats,Dogs"
211,2,1,350,"Cats,Dogs"
212,0,,350,None
213,0,1,350,"Cats,Dogs"
214,2,1,352,None
215,0,1,355,"Cats,Dogs"
216,1,1,355,None
217,2,1,360,"Cats,Dogs"
218,2,1,360,"Cats,Dogs"
219,2,1,360,None
220,1,1,360,None
221,1,1,360,None
222,1,1,360,"Cats,Dogs"
223,1,1,362,"Cats,Dogs"
224,0,1,362,None
225,2,1,367,None
226,1,1,367,"Cats,Dogs"
227,2,1,368,Cats
228,2,1,369,"Cats,Dogs"
229,0,1,370,None
230,1,1,370,Cats
231,1,1,375,"Cats,Dogs"
232,1,1,375,None
233,2,1,375,None
234,1,1,375,"Cats,Dogs"
235,0,1,375,None
236,2,1,375,Cats
237,0,1,378,None
238,1,1,380,"Cats,Dogs"
239,0,1,380,"Cats,Dogs"
240,0,1,380,None
241,2,1,380,Cats
242,2,1,381,"Cats,Dogs"
243,2,1,382,None
244,1,1,384,"Cats,Dogs"
245,0,1,385,"Cats,Dogs"
246,1,1,385,"Cats,Dogs"
247,1,1,390,None
248,1,1,390,None
249,0,1,393,None
250,0,1,394,None
251,0,1,395,"Cats,Dogs"
252,1,1,395,"Cats,Dogs"
253,2,1,395,None
254,2,1,395,None
255,1,1,396,None
256,2,1,398,"Cats,Dogs"
257,1,1,398,"Cats,Dogs"
258,2,1,398,"Cats,Dogs"
259,2,1,398,None
260,0,1,400,None
261,1,1,400,None
262,0,1,400,None
263,1,1,400,None
264,1,1,400,None
265,1,1,400,Cats
266,1,1,400,"Cats,Dogs"
267,1,1,400,None
268,1,1,400,None
269,1,1,400,None
270,1,1,400,None
271,1,1,400,None
272,1,1,400,None
273,1,1,400,None
274,2,1,400,None
275,1,1,400,"Cats,Dogs"
276,2,1,400,"Cats,Dogs"
277,1,1,400,None
278,1,1,400,Dogs
279,3,1,400,None
280,0,1,400,Cats
281,1,1,400,None
282,1,1,400,None
283,2,1,400,Cats
284,0,1,400,Dogs
285,1,1,400,None
286,1,1,400,Cats
287,1,1,400,None
288,1,1,400,None
289,3,1,400,None
290,1,1,400,None
291,2,1,400,"Cats,Dogs"
292,0,1,400,None
293,0,1,400,"Cats,Dogs"
294,0,1,400,"Cats,Dogs"
295,1,1,400,None
296,2,1,400,None
297,1,1,400,None
298,1,1,400,None
299,2,1,400,None
300,0,1,400,"Cats,Dogs"
301,1,1,400,None
302,1,1,400,None
303,1,1,400,None
304,1,1,400,None
305,1,1,400,None
306,2,1,400,None
307,1,1,400,None
308,1,1,400,None
309,2,1,400,"Cats,Dogs"
310,1,1,400,None
311,1,1,400,None
312,0,1,400,"Cats,Dogs"
313,1,1,400,None
314,2,1,400,None
315,1,1,400,None
316,1,1,400,None
317,2,1,400,"Cats,Dogs"
318,1,1,401,None
319,2,1,402,"Cats,Dogs"
320,1,1,404,"Cats,Dogs"
321,0,1,405,Cats
322,1,1,405,"Cats,Dogs"
323,0,1,406,None
324,2,1,406,None
325,0,1,408,"Cats,Dogs"
326,0,1,408,None
327,2,1,409,"Cats,Dogs"
328,1,1,409,"Cats,Dogs"
329,2,1,410,"Cats,Dogs"
330,0,1,410,Cats
331,2,1,410,None
332,1,1,410,"Cats,Dogs"
333,2,1,410,None
334,2,1,410,Cats
335,2,1,410,Cats
336,1,1,410,None
337,1,1,410,
338,1,1,413,"Cats,Dogs"
339,1,1,414,"Cats,Dogs"
340,2,1,414,None
341,2,1,415,"Cats,Dogs"
342,2,1,415,"Cats,Dogs"
343,1,1,415,"Cats,Dogs"
344,2,1,415,None
345,0,1,415,"Cats,Dogs"
346,0,1,415,"Cats,Dogs"
347,2,1,417,"Cats,Dogs"
348,2,1,418,"Cats,Dogs"
349,2,1,418,None
350,0,1,419,"Cats,Dogs"
351,1,1,420,"Cats,Dogs"
352,1,1,420,"Cats,Dogs"
353,1,1,420,Cats
354,1,1,420,None
355,2,1,420,None
356,1,1,420,None
357,1,1,420,"Cats,Dogs"
358,1,1,420,None
359,1,1,422,Cats
360,2,1,422,None
361,2,1,423,"Cats,Dogs"
362,2,1,425,"Cats,Dogs"
363,1,1,425,None
364,0,1,425,"Cats,Dogs"
365,2,1,425,None
366,0,1,425,None
367,1,1,425,None
368,1,1,425,None
369,1,1,426,Cats
370,0,1,426,None
371,1,1,426,"Cats,Dogs"
372,2,1,428,None
373,3,1,428,Cats
374,1,1,428,None
375,0,1,429,"Cats,Dogs"
376,1,1,430,"Cats,Dogs"
377,2,1,430,None
378,0,1,430,"Cats,Dogs"
379,2,1,430,None
380,2,1,431,"Cats,Dogs"
381,0,1,431,None
382,1,1,432,"Cats,Dogs"
383,1,1,432,None
384,2,1,432,None
385,2,1,433,"Cats,Dogs"
386,2,1,434,None
387,3,1,434,None
388,1,1,435,Cats
389,2,1,435,"Cats,Dogs"
390,2,1,435,"Cats,Dogs"
391,0,1,437,None
392,2,1,439,"Cats,Dogs"
393,2,1,440,None
394,1,1,440,"Cats,Dogs"
395,1,1,440,"Cats,Dogs"
396,1,1,440,"Cats,Dogs"
397,1,1,441,"Cats,Dogs"
398,1,1,441,None
399,2,1,441,"Cats,Dogs"
400,1,1,442,"Cats,Dogs"
401,1,1,444,None
402,2,1,444,"Cats,Dogs"
403,2,1,445,
404,2,1,446,"Cats,Dogs"
405,0,1,447,None
406,2,1,447,Dogs
407,1,1,447,None
408,1,1,447,None
409,1,1,447,Cats
410,1,1,448,None
411,1,1,449,None
412,2,1,449,"Cats,Dogs"
413,0,1,450,None
414,1,1,450,"Cats,Dogs"
415,0,1,450,"Cats,Dogs"
416,0,1,450,None
417,1,1,450,None
418,0,1,450,"Cats,Dogs"
419,2,1,450,None
420,2,1,450,"Cats,Dogs"
421,1,1,450,"Cats,Dogs"
422,1,1,450,Cats
423,3,1,450,None
424,0,1,450,None
425,1,1,450,"Cats,Dogs"
426,1,1,450,None
427,2,1,450,None
428,2,1,450,"Cats,Dogs"
429,2,1,450,None
430,1,1,450,"Cats,Dogs"
431,1,1,450,"Cats,Dogs"
432,1,1,450,"Cats,Dogs"
433,2,1,450,"Cats,Dogs"
434,1,1,450,
435,2,1,450,None
436,1,1,450,None
437,0,1,450,"Cats,Dogs"
438,0,1,450,"Cats,Dogs"
439,1,1,450,"Cats,Dogs"
440,1,1,450,
441,2,1,451,None
442,1,1,452,None
443,1,1,453,None
444,1,1,454,"Cats,Dogs"
445,1,1,454,Cats
446,1,1,456,"Cats,Dogs"
447,1,1,456,None
448,1,1,458,None
449,2,1,458,None
450,3,1,460,"Cats,Dogs"
451,1,1,460,"Cats,Dogs"
452,0,1,460,"Cats,Dogs"
453,1,1,460,None
454,2,1,460,"Cats,Dogs"
455,1,1,460,"Cats,Dogs"
456,2,1,462,"Cats,Dogs"
457,1,1,462,"Cats,Dogs"
458,1,1,464,None
459,1,1,464,"Cats,Dogs"
460,2,1,465,"Cats,Dogs"
461,1,1,465,"Cats,Dogs"
462,2,1,465,"Cats,Dogs"
463,1,1,466,"Cats,Dogs"
464,2,1,467,Cats
465,1,1,468,None
466,2,1,468,"Cats,Dogs"
467,1,1,468,None
468,1,1,468,None
469,1,1,470,None
470,2,1,470,Cats
471,1,1,470,"Cats,Dogs"
472,2,1,470,None
473,2,1,470,"Cats,Dogs"
474,1,1,470,"Cats,Dogs"
475,1,1,471,"Cats,Dogs"
476,2,1,471,"Cats,Dogs"
477,1,1,472,None
478,2,1,472,None
479,1,1,474,"Cats,Dogs"
480,3,1,474,"Cats,Dogs"
481,1,1,475,None
482,2,1,475,"Cats,Dogs"
483,0,1,475,None
484,1,1,475,None
485,1,1,475,"Cats,Dogs"
486,2,1,475,None
487,2,1,475,None
488,2,1,475,
489,1,1,475,Cats
490,2,1,476,None
491,1,1,476,"Cats,Dogs"
492,1,1,478,"Cats,Dogs"
493,2,1,478,"Cats,Dogs"
494,0,1,479,Cats
495,0,1,479,"Cats,Dogs"
496,2,1,479,None
497,1,1,479,Cats
498,1,1,479,None
499,0,1,480,"Cats,Dogs"
500,2,1,480,None
501,1,1,480,None
502,1,1,480,"Cats,Dogs"
503,1,1,480,None
504,1,1,480,None
505,1,1,481,"Cats,Dogs"
506,1,1,481,None
507,1,1,481,None
508,1,1,481,None
509,2,1,483,"Cats,Dogs"
510,1,1,483,"Cats,Dogs"
511,3,1,483,"Cats,Dogs"
512,1,,484,None
513,1,1,484,None
514,3,1,484,None
515,1,1,484,None
516,1,1,485,"Cats,Dogs"
517,1,1,485,None
518,2,1,485,"Cats,Dogs"
519,1,1,486,"Cats,Dogs"
520,1,1,486,"Cats,Dogs"
521,1,1,488,None
522,2,1,488,"Cats,Dogs"
523,1,1,488,"Cats,Dogs"
524,2,1,489,"Cats,Dogs"
525,2,1,490,None
526,1,1,490,Cats
527,0,1,490,"Cats,Dogs"
528,1,1,490,None
529,0,1,490,"Cats,Dogs"
530,2,1,490,None
531,1,1,491,"Cats,Dogs"
532,2,1,491,"Cats,Dogs"
533,1,1,491,None
534,1,1,491,"Cats,Dogs"
535,2,1,493,None
536,1,1,494,"Cats,Dogs"
537,2,1,495,"Cats,Dogs"
538,2,1,495,"Cats,Dogs"
539,0,1,495,None
540,1,1,495,None
541,1,1,495,"Cats,Dogs"
542,2,1,496,None
543,2,1,497,None
544,1,1,497,Cats
545,2,1,497,"Cats,Dogs"
546,3,1,498,None
547,1,1,500,None
548,2,1,500,Cats
549,1,1,500,None
550,2,1,500,"Cats,Dogs"
551,2,1,500,"Cats,Dogs"
552,1,1,500,
553,1,1,500,"Cats,Dogs"
554,1,1,500,"Cats,Dogs"
555,2,1,500,None
556,1,1,500,None
557,1,1,500,None
558,2,1,500,"Cats,Dogs"
559,1,1,500,Cats
560,0,1,500,None
561,2,1,500,None
562,1,1,500,
563,2,1,500,None
564,1,1,500,"Cats,Dogs"
565,1,1,500,None
566,2,1,500,None
567,1,1,500,None
568,1,1,500,"Cats,Dogs"
569,1,1,500,None
