s.no,latitude,longitude,amenities
1,38.9057,-76.9861,
2,37.968,-87.6621,
3,38.891,-77.0816,
4,47.616,-122.3275,
5,38.8738,-77.1055,
6,33.9932,-118.4609,
7,38.9328,-77.0297,
8,37.7599,-122.4379,Refrigerator
9,38.9118,-77.0132,
10,38.9118,-77.0132,
11,38.9118,-77.0132,
12,32.2264,-110.9438,
13,38.9118,-77.0132,
14,37.7599,-122.4379,Refrigerator
15,30.0871,-95.4685,
16,38.1172,-122.2313,
17,35.2016,-80.8124,
18,,,
19,27.8492,-82.3155,
20,32.8956,-85.4351,
21,37.7599,-122.4379,
22,39.1634,-76.6165,
23,39.6828,-104.8078,
24,38.7418,-77.4684,
25,33.7416,-84.2614,
26,28.0076,-82.4792,
27,35.1038,-106.611,
28,,,
29,47.616,-122.3275,
30,47.616,-122.3275,
31,41.8625,-87.6825,"Dishwasher,Parking"
32,47.616,-122.3275,
33,35.224,-81.1809,
34,27.7011,-82.3178,
35,35.1211,-89.9517,
36,47.616,-122.3275,
37,37.7599,-122.4379,Dishwasher
38,38.9118,-77.0132,
39,48.7871,-122.4437,
40,47.616,-122.3275,
41,61.1723,-149.8414,Dishwasher
42,37.6019,-122.4863,
43,37.7599,-122.4379,
44,34.145,-118.3898,
45,34.2805,-118.8861,
46,38.5587,-121.432,
47,47.616,-122.3275,
48,34.1881,-118.3905,
49,39.736,-104.9819,
50,39.6828,-104.8078,
51,37.9353,-121.6935,
52,37.9917,-122.5247,
53,37.7904,-122.2151,
54,37.9724,-122.3304,
55,41.8625,-87.6825,
56,38.7999,-77.1072,
57,41.8625,-87.6825,
58,39.736,-104.9819,
59,38.786,-77.2858,
60,47.5988,-122.1507,
61,39.8163,-98.5576,
62,38.3918,-121.2234,
63,34.1677,-118.6141,
64,25.7603,-80.3005,
65,38.9633,-76.9375,
66,39.8644,-105.0454,
67,39.6828,-104.8078,
68,39.8228,-105.1107,
69,33.7606,-118.0806,
70,39.8587,-74.8101,
71,39.1634,-76.6165,
72,39.5816,-105.0387,
73,39.6828,-104.8078,
74,37.9682,-122.0091,
75,39.9999,-105.0993,
76,32.6197,-117.0226,
77,39.5516,-104.969,
78,40.0213,-105.2552,
79,39.6828,-104.8078,
80,33.8323,-117.9079,
81,39.8312,-104.8942,
82,39.8228,-105.1107,
83,38.8738,-77.1055,
84,26.1806,-81.7257,
85,39.6828,-104.8078,
86,40.0994,-104.8079,Parking
87,36.137,-86.783,
88,27.7873,-82.6772,
89,45.5091,-122.6449,
90,39.4324,-76.3552,
91,39.9156,-105.0876,
92,39.0287,-77.2409,
93,28.905,-81.2156,
94,38.1255,-121.2878,
95,30.2989,-81.6324,
96,39.4904,-104.7265,
97,38.6968,-104.6969,
98,40.5649,-105.0824,
99,40.4067,-105.0984,
100,39.6103,-75.6896,
101,40.2776,-76.7088,
102,33.945,-117.4074,
103,27.2897,-80.3421,
104,35.2016,-80.8124,
105,36.137,-86.783,
106,33.8691,-84.7686,
107,29.4782,-98.2759,
108,39.9156,-105.0876,
109,28.5163,-81.3644,
110,39.6041,-104.8594,
111,39.6894,-105.1119,
112,30.0066,-97.8071,
113,41.7834,-87.8099,
114,34.0505,-81.0098,
115,29.7714,-95.4343,
116,45.1748,-93.3109,
117,33.5178,-112.0848,
118,44.9545,-123.0072,
119,29.4832,-82.8641,
120,29.4624,-98.5253,
121,33.5178,-112.0848,
122,36.9873,-122.016,
123,28.0076,-82.4792,
124,47.1165,-88.5631,
125,35.823,-78.6438,
126,37.6465,-78.2899,
127,39.9849,-75.8127,
128,28.681,-81.2808,
129,39.2019,-76.951,
130,34.8856,-112.4675,
131,39.3903,-77.1487,
132,47.616,-122.3275,
133,47.7046,-122.1989,
134,37.7599,-122.4379,Parking
135,43.0724,-89.4003,"Parking,Storage"
136,37.7078,-122.1435,
137,33.6019,-117.8637,
138,34.0372,-118.2972,
139,39.1263,-84.5172,
140,61.1723,-149.8414,
141,41.8625,-87.6825,
142,47.616,-122.3275,
143,45.5091,-122.6449,
144,41.6595,-91.535,
145,37.4356,-122.134,
146,41.7277,-72.8374,Parking
147,39.1775,-77.1944,Parking
148,47.616,-122.3275,
149,41.9891,-87.6572,
150,33.7815,-118.1934,
151,41.8625,-87.6825,Parking
152,30.3054,-97.7497,
153,33.7416,-84.2614,
154,39.736,-104.9819,
155,27.3181,-82.4987,Parking
156,43.0531,-87.9659,Parking
157,41.8625,-87.6825,
158,41.6151,-71.1705,
159,33.5571,-84.2167,
160,39.9974,-82.9829,Parking
161,39.0744,-108.5228,
162,35.823,-78.6438,
163,40.4969,-86.9659,"Dishwasher,Parking"
164,45.5091,-122.6449,
165,37.7599,-122.4379,Dishwasher
166,37.7599,-122.4379,"Dishwasher,Parking"
167,61.1723,-149.8414,Dishwasher
168,38.0172,-84.4931,
169,40.3613,-86.9005,"Dishwasher,Parking,Refrigerator"
170,38.9799,-77.0798,
171,41.8625,-87.6825,Parking
172,39.6894,-105.1119,
173,43.0531,-87.9659,
174,43.0724,-89.4003,Parking
175,33.8517,-118.3978,
176,47.616,-122.3275,
177,41.8625,-87.6825,
178,41.8625,-87.6825,Parking
179,41.8625,-87.6825,Dishwasher
180,41.1873,-73.1811,
181,41.6675,-83.5837,Parking
182,40.4969,-86.9659,"Dishwasher,Parking,"
183,37.7599,-122.4379,"Dishwasher,Refrigerator"
184,37.7599,-122.4379,"Dishwasher,Refrigerator"
185,39.736,-104.9819,
186,30.3054,-97.7497,
187,41.5927,-93.6276,
188,37.7856,-122.4121,"Dishwasher,Parking,Refrigerator"
189,43.0834,-87.8861,
190,28.0076,-82.4792,"Parking,Refrigerator"
191,30.3054,-97.7497,
192,37.7599,-122.4379,Refrigerator
193,43.0724,-89.4003,"Parking,Refrigerator"
194,40.4969,-86.9659,"Dishwasher,Garbage Disposal,Parking,Patio/Deck,Refrigerator"
195,37.7599,-122.4379,Refrigerator
196,40.3613,-86.9005,"Dishwasher,Garbage Disposal,Parking,Patio/Deck,Refrigerator"
197,47.616,-122.3275,"Dishwasher,Patio/Deck"
198,38.6274,-90.304,
199,37.7599,-122.4379,Refrigerator
200,38.9118,-77.0132,Parking
201,34.0372,-118.2972,
202,45.5091,-122.6449,
203,47.616,-122.3275,
204,40.0054,-75.1415,
205,41.8625,-87.6825,
206,30.3054,-97.7497,
207,33.5783,-111.8902,
208,41.8625,-87.6825,Refrigerator
209,47.6794,-117.4018,
210,39.597,-78.8345,"Parking,Patio/Deck"
211,61.1723,-149.8414,Patio/Deck
212,43.047,-76.156,
213,32.2264,-110.9438,"Parking,Refrigerator"
214,30.3054,-97.7497,
215,34.0372,-118.2972,
216,40.1171,-88.1889,"Cable or Satellite,Internet Access,Parking,Refrigerator"
217,40.7647,-74.2119,
218,44.9545,-123.0072,
219,30.3054,-97.7497,
220,43.0724,-89.4003,Parking
221,40.1145,-88.2723,"Dishwasher,Parking,Patio/Deck"
222,36.116,-95.9281,"Parking,Refrigerator"
223,41.8625,-87.6825,
224,30.3054,-97.7497,
225,45.5091,-122.6449,
226,41.8625,-87.6825,Parking
227,41.3708,-72.9259,
228,47.616,-122.3275,
229,40.4841,-74.4526,
230,45.5091,-122.6449,
231,34.0231,-118.4811,"Dishwasher,Parking,Pool,Refrigerator"
232,32.7876,-117.1265,
233,30.3054,-97.7497,"Dishwasher,Parking,Pool"
234,33.5178,-112.0848,
235,40.4969,-86.9659,"Dishwasher,Garbage Disposal,Parking,Patio/Deck,Refrigerator"
236,44.9855,-93.3023,"Cable or Satellite,Internet Access,Parking,Refrigerator"
237,30.3054,-97.7497,
238,37.7599,-122.4379,"Dishwasher,Refrigerator"
239,37.7599,-122.4379,"Dishwasher,Parking,Refrigerator"
240,32.7876,-117.1265,
241,61.1723,-149.8414,
242,37.7599,-122.4379,"Dishwasher,Refrigerator"
243,37.7599,-122.4379,"Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator"
244,41.8625,-87.6825,Dishwasher
245,37.7599,-122.4379,Refrigerator
246,45.5091,-122.6449,
247,40.4969,-86.9659,"Dishwasher,Parking,Patio/Deck,Refrigerator"
248,40.1171,-88.1889,Refrigerator
249,38.9118,-77.0132,
250,30.3054,-97.7497,
251,34.0372,-118.2972,
252,41.8625,-87.6825,
253,30.3054,-97.7497,"Dishwasher,Parking,Pool"
254,48.7871,-122.4437,"Cable or Satellite,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Refrigerator"
255,30.3054,-97.7497,
256,37.7599,-122.4379,"Dishwasher,Refrigerator"
257,41.8625,-87.6825,"Dishwasher,Parking,Patio/Deck"
258,30.3054,-97.7497,
259,30.3054,-97.7497,
